SN,ID,Stage,Depth,MM_Nodes,AB_Nodes,MM_Time_us,AB_Time_us,Pruning_Efficiency_%,Moves_Match,MM_BestMove,AB_BestMove
1,E01,Early,1,7,7,30,28,0.00,true,1,1
2,E01,Early,2,49,19,186,67,61.22,true,1,1
3,E01,Early,3,259,109,204,89,57.92,true,1,1
4,E02,Early,1,7,7,5,5,0.00,true,0,0
5,E02,Early,2,49,19,31,17,61.22,true,0,0
6,E02,Early,3,259,121,191,75,53.28,true,0,0
7,E03,Early,1,7,7,4,4,0.00,true,0,0
8,E03,Early,2,49,19,18,8,61.22,true,0,0
9,E03,Early,3,259,127,112,66,50.97,true,0,0
10,E04,Early,1,7,7,2,2,0.00,true,1,1
11,E04,Early,2,49,19,14,6,61.22,true,1,1
12,E04,Early,3,259,127,82,47,50.97,true,1,1
13,E05,Early,1,7,7,1,2,0.00,true,0,0
14,E05,Early,2,49,19,11,5,61.22,true,0,0
15,E05,Early,3,259,115,68,40,55.60,true,0,0
16,M01,Mid,1,5,5,1,1,0.00,true,8,8
17,M01,Mid,2,21,12,7,3,42.86,true,8,8
18,M01,Mid,3,69,45,16,13,34.78,true,3,3
19,M02,Mid,1,5,5,1,1,0.00,true,3,3
20,M02,Mid,2,21,12,6,4,42.86,true,3,3
21,M02,Mid,3,69,49,15,15,28.99,true,7,7
22,M03,Mid,1,5,5,1,1,0.00,true,0,0
23,M03,Mid,2,25,16,6,4,36.00,true,4,4
24,M03,Mid,3,73,46,15,14,36.99,true,4,4
25,M04,Mid,1,5,5,1,1,0.00,true,4,4
26,M04,Mid,2,21,12,5,3,42.86,true,4,4
27,M04,Mid,3,69,49,16,17,28.99,true,6,6
28,M05,Mid,1,5,5,1,1,0.00,true,1,1
29,M05,Mid,2,25,13,6,4,48.00,true,1,1
30,M05,Mid,3,85,37,19,11,56.47,true,1,1
31,M06,Mid,1,5,5,1,1,0.00,true,1,1
32,M06,Mid,2,25,17,6,5,32.00,true,5,5
33,M06,Mid,3,73,57,16,16,21.92,true,5,5
34,M07,Mid,1,5,5,1,1,0.00,true,6,6
35,M07,Mid,2,21,14,5,4,33.33,true,6,6
36,M07,Mid,3,60,51,16,16,15.00,true,6,6
37,M08,Mid,1,5,5,1,1,0.00,true,2,2
38,M08,Mid,2,25,25,6,7,0.00,true,8,8
39,M08,Mid,3,73,73,17,22,0.00,true,8,8
40,L01,Late,1,3,3,1,1,0.00,true,6,6
41,L01,Late,2,7,6,2,2,14.29,true,6,6
42,L01,Late,3,11,11,2,3,0.00,true,6,6
43,L02,Late,1,3,3,1,1,0.00,true,4,4
44,L02,Late,2,7,5,1,1,28.57,true,4,4
45,L02,Late,3,9,5,1,1,44.44,true,4,4
46,L03,Late,1,3,3,0,0,0.00,true,2,2
47,L03,Late,2,5,4,0,1,20.00,true,2,2
48,L03,Late,3,7,7,1,1,0.00,true,7,7
49,L04,Late,1,3,3,0,0,0.00,true,0,0
50,L04,Late,2,3,3,0,0,0.00,true,0,0
51,L04,Late,3,3,3,0,0,0.00,true,0,0
52,L05,Late,1,3,3,0,1,0.00,true,3,3
53,L05,Late,2,7,6,1,1,14.29,true,3,3
54,L05,Late,3,10,8,1,2,20.00,true,3,3
55,L06,Late,1,3,3,0,0,0.00,true,6,6
56,L06,Late,2,5,4,1,1,20.00,true,6,6
57,L06,Late,3,7,7,1,2,0.00,true,7,7
58,L07,Late,1,3,3,1,1,0.00,true,6,6
59,L07,Late,2,9,7,2,2,22.22,true,6,6
60,L07,Late,3,13,9,2,3,30.77,true,6,6
61,L08,Late,1,3,3,0,0,0.00,true,3,3
62,L08,Late,2,3,3,0,0,0.00,true,3,3
63,L08,Late,3,3,3,0,0,0.00,true,3,3
